"PAG_NAME","ITM_NAME","CDL_NAME","CODE","DECODE","LAST_UPDATE"
"AE","AEFLUP","YN","0","No","2010-12-06 07:13:10.0"
"AE","AEFLUP","YN","1","Yes","2010-12-06 07:13:10.0"
"AE","AEOUTCOM","AEOUTCOM","1","recovered","2010-12-06 07:13:10.0"
"AE","AEOUTCOM","AEOUTCOM","2","under treatment / observation","2010-12-06 07:13:10.0"
"AE","AEOUTCOM","AEOUTCOM","3","change in AE characteristic","2010-12-06 07:13:10.0"
"AE","AEOUTCOM","AEOUTCOM","4","sequelae","2010-12-06 07:13:10.0"
"AE","AEOUTCOM","AEOUTCOM","5","fatal","2010-12-06 07:13:10.0"
"AE","AEOUTCOM","AEOUTCOM","6","unknown","2010-12-06 07:13:10.0"
"AE","AERELAT","AERELAT","1","unrelated","2010-12-06 07:13:10.0"
"AE","AERELAT","AERELAT","2","unlikely","2010-12-06 07:13:10.0"
"AE","AERELAT","AERELAT","3","possible","2010-12-06 07:13:10.0"
"AE","AERELAT","AERELAT","4","probable","2010-12-06 07:13:10.0"
"AE","AERELAT","AERELAT","5","definite","2010-12-06 07:13:10.0"
"AE","AESEVER","AESERV","1","mild","2010-12-06 07:13:10.0"
"AE","AESEVER","AESERV","2","moderate","2010-12-06 07:13:10.0"
"AE","AESEVER","AESERV","3","severe","2010-12-06 07:13:10.0"
"AE","PWDTAE","YES","Y","Yes","2010-12-06 07:13:10.0"
"AE","SAE","YN","0","No","2010-12-06 07:13:10.0"
"AE","SAE","YN","1","Yes","2010-12-06 07:13:10.0"
"AE","STARTEST","DATEEST","ACT","Actual date","2010-12-06 07:13:10.0"
"AE","STARTEST","DATEEST","DAY","Day estimated","2010-12-06 07:13:10.0"
"AE","STARTEST","DATEEST","MD","Month and Day estimated","2010-12-06 07:13:10.0"
"AE","STARTEST","DATEEST","MON","Month estimated","2010-12-06 07:13:10.0"
"AE","STOPEST","DATEEST","ACT","Actual date","2010-12-06 07:13:10.0"
"AE","STOPEST","DATEEST","DAY","Day estimated","2010-12-06 07:13:10.0"
"AE","STOPEST","DATEEST","MD","Month and Day estimated","2010-12-06 07:13:10.0"
"AE","STOPEST","DATEEST","MON","Month estimated","2010-12-06 07:13:10.0"
"CGINFO","CGREL","CGREL","1","Spouse","2010-12-06 07:13:10.0"
"CGINFO","CGREL","CGREL","2","Sibling","2010-12-06 07:13:10.0"
"CGINFO","CGREL","CGREL","3","Parent","2010-12-06 07:13:10.0"
"CGINFO","CGREL","CGREL","4","Child","2010-12-06 07:13:10.0"
"CGINFO","CGREL","CGREL","5","Friend","2010-12-06 07:13:10.0"
"CGINFO","CGREL","CGREL","6","Other","2010-12-06 07:13:10.0"
"CGINFO","CRGVPRES","YN","0","No","2010-12-06 07:13:10.0"
"CGINFO","CRGVPRES","YN","1","Yes","2010-12-06 07:13:10.0"
"CGINFO","CRGVSAME","YN","0","No","2010-12-06 07:13:10.0"
"CGINFO","CRGVSAME","YN","1","Yes","2010-12-06 07:13:10.0"
"CONCL","COMPLT","COMPLT","00","No","2010-12-06 07:13:10.0"
"CONCL","COMPLT","COMPLT","01","Yes","2010-12-06 07:13:10.0"
"CONCL","WDRSN","WDRSN","01","Adverse Event","2010-12-06 07:13:10.0"
"CONCL","WDRSN","WDRSN","02","Lost to follow-up","2010-12-06 07:13:10.0"
"CONCL","WDRSN","WDRSN","03","Subject withdrew consent","2010-12-06 07:13:10.0"
"CONCL","WDRSN","WDRSN","04","Pregnancy","2010-12-06 07:13:10.0"
"CONCL","WDRSN","WDRSN","05","Protocol violation","2010-12-06 07:13:10.0"
"CONCL","WDRSN","WDRSN","06","Death of subject","2010-12-06 07:13:10.0"
"CONCL","WDRSN","WDRSN","07","Investigator decision","2010-12-06 07:13:10.0"
"CONCL","WDRSN","WDRSN","09","Clinical Monitor decision","2010-12-06 07:13:10.0"
"CONCL","WDRSN","WDRSN","10","Sponsor decision","2010-12-06 07:13:10.0"
"CONCL","WDRSN","WDRSN","11","Primary Care Physician decision","2010-12-06 07:13:10.0"
"CONCL","WDRSN","WDRSN","12","Informant / Caregiver decision","2010-12-06 07:13:10.0"
"CONCL","WDRSN","WDRSN","13","Institutionalized","2010-12-06 07:13:10.0"
"CONCL","WDRSN","WDRSN","14","Inability to continue giving consent","2010-12-06 07:13:10.0"
"CONCL","WDRSN","WDRSN","15","Other (specify)","2010-12-06 07:13:10.0"
"CONMED","DISMED","YN","0","No","2010-12-06 07:13:10.0"
"CONMED","DISMED","YN","1","Yes","2010-12-06 07:13:10.0"
"CONMED","ONGOING","YN","0","No","2010-12-06 07:13:10.0"
"CONMED","ONGOING","YN","1","Yes","2010-12-06 07:13:10.0"
"CONMED","ROUTE","ROUTE","1","IV","2010-12-06 07:13:10.0"
"CONMED","ROUTE","ROUTE","2","IM","2010-12-06 07:13:10.0"
"CONMED","ROUTE","ROUTE","3","PO","2010-12-06 07:13:10.0"
"CONMED","ROUTE","ROUTE","4","SC","2010-12-06 07:13:10.0"
"CONMED","ROUTE","ROUTE","5","PR","2010-12-06 07:13:10.0"
"CONMED","ROUTE","ROUTE","6","Sublingual","2010-12-06 07:13:10.0"
"CONMED","ROUTE","ROUTE","7","Inhaled","2010-12-06 07:13:10.0"
"CONMED","ROUTE","ROUTE","8","Topical","2010-12-06 07:13:10.0"
"CONMED","ROUTE","ROUTE","9","Other","2010-12-06 07:13:10.0"
"CONMED","STARTEST","DATEEST","ACT","Actual date","2010-12-06 07:13:10.0"
"CONMED","STARTEST","DATEEST","DAY","Day estimated","2010-12-06 07:13:10.0"
"CONMED","STARTEST","DATEEST","MD","Month and Day estimated","2010-12-06 07:13:10.0"
"CONMED","STARTEST","DATEEST","MON","Month estimated","2010-12-06 07:13:10.0"
"CONMED","STOPEST","DATEEST","ACT","Actual date","2010-12-06 07:13:10.0"
"CONMED","STOPEST","DATEEST","DAY","Day estimated","2010-12-06 07:13:10.0"
"CONMED","STOPEST","DATEEST","MD","Month and Day estimated","2010-12-06 07:13:10.0"
"CONMED","STOPEST","DATEEST","MON","Month estimated","2010-12-06 07:13:10.0"
"CURRCOND","CONDCAT","CONCAT","1D","Dermatological","2010-12-06 07:13:10.0"
"CURRCOND","CONDCAT","CONCAT","1E","Ophthalmological","2010-12-06 07:13:10.0"
"CURRCOND","CONDCAT","CONCAT","1F","ENT","2010-12-06 07:13:10.0"
"CURRCOND","CONDCAT","CONCAT","1G","Pulmonary","2010-12-06 07:13:10.0"
"CURRCOND","CONDCAT","CONCAT","1H","Cardiovascular","2010-12-06 07:13:10.0"
"CURRCOND","CONDCAT","CONCAT","1I","Gastrointestinal","2010-12-06 07:13:10.0"
"CURRCOND","CONDCAT","CONCAT","1J","Hepatobiliary","2010-12-06 07:13:10.0"
"CURRCOND","CONDCAT","CONCAT","1K","Renal","2010-12-06 07:13:10.0"
